raiser_position,defender_position,defender_archetype,hand,avg_ev_bb
SB,BB,Station,76o,1.7777928509104604
SB,BB,Station,74s,1.7777928509104604
SB,BB,Station,73s,2.0705457606692845
SB,BB,Station,83s,2.2701268748005177
SB,BB,Station,84o,2.5394595517786356
SB,BB,Station,T2o,2.18510124709665
SB,BB,Station,84s,2.352097689532988
SB,BB,Station,54s,1.7777928509104604
SB,BB,Station,53s,2.4910916797315257
SB,BB,Station,75o,1.7777928509104604
SB,BB,Station,64s,1.9600633582037803
SB,BB,Station,92o,2.0840378512929516
SB,BB,Station,82s,2.282855262181336
SB,BB,Station,74o,2.18510124709665
SB,BB,Station,64o,2.18510124709665
SB,BB,Station,43s,2.1677906402587372
SB,BB,Station,82o,2.469198853436518
SB,BB,Station,94o,2.563898055549807
SB,BB,Station,65o,2.1611718788207117
SB,BB,Station,73o,2.063417863736026
SB,BB,Station,72s,1.7777928509104604
SB,BB,Station,63s,2.0725823026502153
SB,BB,Station,53o,2.501783525131413
SB,BB,Station,32s,2.163208420801643
SB,BB,Station,83o,2.2640172488577246
SB,BB,Station,62s,1.956499409737151
SB,BB,Station,42s,1.9559902742419182
SB,BB,Station,52s,1.7777928509104604
SB,BB,Station,62o,2.1677906402587372
SB,BB,Station,72o,1.9814470490035552
SB,BB,Station,54o,2.18510124709665
SB,BB,Station,63o,2.075127980126379
SB,BB,Station,32o,2.3622803994376427
SB,BB,Station,52o,1.9814470490035552
SB,BB,Station,42o,2.148443491439893
SB,BB,Station,43o,2.16829977575397
SB,BB,Maniac,AA,2.510081313600274
SB,BB,Maniac,KK,2.2505480087895418
SB,BB,Maniac,QQ,2.1361803324696123
SB,BB,Maniac,JJ,2.24760663133502
SB,BB,Maniac,TT,2.2278821001694045
SB,BB,Maniac,99,2.113514423849475
SB,BB,Maniac,88,2.221999345260361
SB,BB,Maniac,AKs,2.1358342880631978
SB,BB,Maniac,77,2.118013001132861
SB,BB,Maniac,AKo,2.1572890412608854
SB,BB,Maniac,AJo,2.0539947859462138
SB,BB,Maniac,AQo,2.139121709924134
SB,BB,Maniac,AQs,2.1510602419454274
SB,BB,Maniac,A9o,2.3294461334520045
SB,BB,Maniac,A7o,2.131335710779812
SB,BB,Maniac,KJs,2.1498490865229773
SB,BB,Maniac,QJs,1.8617671181830644
SB,BB,Maniac,A7s,2.135142199250369
SB,BB,Maniac,A9s,2.4285878558897043
SB,BB,Maniac,KTo,1.997416525497474
SB,BB,Maniac,A8o,2.066798428983543
SB,BB,Maniac,AJs,2.1865297936028942
SB,BB,Maniac,ATs,2.1358342880631978
SB,BB,Maniac,K9s,2.2636976962332853
SB,BB,Maniac,55,1.7205810003660258
SB,BB,Maniac,66,1.9782110609414796
SB,BB,Maniac,KQs,1.997416525497474
SB,BB,Maniac,A8s,2.1358342880631978
SB,BB,Maniac,ATo,1.997416525497474
SB,BB,Maniac,A5s,2.2502019643831273
SB,BB,Maniac,QTs,1.8589987629317501
SB,BB,Maniac,K8s,2.328061955826347
SB,BB,Maniac,KTs,2.1358342880631978
SB,BB,Maniac,A4s,1.997416525497474
SB,BB,Maniac,KJo,2.018525234288747
SB,BB,Maniac,K5s,1.997416525497474
SB,BB,Maniac,A6s,1.997416525497474
SB,BB,Maniac,K9o,2.192585570715145
SB,BB,Maniac,A3s,2.22632490034054
SB,BB,Maniac,44,2.216808679164146
SB,BB,Maniac,KQo,1.997416525497474
SB,BB,Maniac,K7s,1.997416525497474
SB,BB,Maniac,Q8s,2.032367010545319
SB,BB,Maniac,A5o,2.2425889874420126
SB,BB,Maniac,Q5s,1.7205810003660258
SB,BB,Maniac,A4o,2.1358342880631978
SB,BB,Maniac,Q9o,2.1285673555284976
SB,BB,Maniac,QTo,1.7205810003660258
SB,BB,Maniac,Q9s,2.060742651871293
SB,BB,Maniac,A6o,1.997416525497474
SB,BB,Maniac,A2s,1.997416525497474
SB,BB,Maniac,JTs,2.1183590455392753
SB,BB,Maniac,K4o,2.1358342880631978
SB,BB,Maniac,K6s,1.997416525497474
SB,BB,Maniac,K8o,2.1860107269932727
SB,BB,Maniac,K7o,1.997416525497474
SB,BB,Maniac,J9o,2.1358342880631978
SB,BB,Maniac,J8s,2.153136508383913
SB,BB,Maniac,JTo,2.1171478901168252
SB,BB,Maniac,K4s,1.997416525497474
SB,BB,Maniac,K2s,1.997416525497474
SB,BB,Maniac,K6o,1.997416525497474
SB,BB,Maniac,J9s,2.126837133496426
SB,BB,Maniac,K3s,2.2048701471428527
SB,BB,Maniac,A3o,2.2247677005116757
SB,BB,Maniac,Q6s,1.7205810003660258
SB,BB,Maniac,QJo,1.7247335332429976
SB,BB,Maniac,33,2.2438001428644627
SB,BB,Maniac,Q3s,1.9237090669312256
SB,BB,Maniac,J7s,1.8589987629317501
SB,BB,Maniac,Q6o,1.7205810003660258
SB,BB,Maniac,Q7s,1.7257716664622407
SB,BB,Maniac,J5s,1.8589987629317501
SB,BB,Maniac,J6s,1.8589987629317501
SB,BB,Maniac,T9o,2.1358342880631978
SB,BB,Maniac,Q7o,1.7254256220558262
SB,BB,Maniac,A2o,2.1358342880631978
SB,BB,Maniac,K5o,1.997416525497474
SB,BB,Maniac,K3o,2.2119640574743458
SB,BB,Maniac,Q8o,1.900870136107881
SB,BB,Maniac,T7s,1.8589987629317501
SB,BB,Maniac,J8o,2.033578165967769
SB,BB,Maniac,97s,1.9645423068881147
SB,BB,Maniac,T8s,2.240685743206734
SB,BB,Maniac,Q4s,1.7205810003660258
SB,BB,Maniac,J4s,1.8589987629317501
SB,BB,Maniac,J3s,2.06454914034185
SB,BB,Maniac,96s,1.951738663850785
SB,BB,Maniac,J7o,1.8589987629317501
SB,BB,Maniac,Q5o,1.7205810003660258
SB,BB,Maniac,J4o,2.1358342880631978
SB,BB,Maniac,98s,2.2566037859017922
SB,BB,Maniac,T9s,2.050707364085278
SB,BB,Maniac,K2o,2.135834288063198
SB,BB,Maniac,Q4o,1.9974165254974736
SB,BB,Maniac,22,2.3649156851094713
SB,BB,Maniac,98o,2.131162688576605
SB,BB,Maniac,Q2s,1.7205810003660258
SB,BB,Maniac,T8o,2.0289065664811763
SB,BB,Maniac,Q3o,1.9271695109953688
SB,BB,Maniac,J6o,1.8589987629317501
SB,BB,Maniac,J5o,1.8589987629317501
SB,BB,Maniac,J2s,1.8589987629317501
SB,BB,Maniac,T4s,1.8589987629317501
SB,BB,Maniac,T3s,2.050707364085278
SB,BB,Maniac,97o,1.9590055963854855
SB,BB,Maniac,87s,2.0157568790374323
SB,BB,Maniac,96o,1.9425684870808058
SB,BB,Maniac,T4o,2.1358342880631978
SB,BB,Maniac,T5s,1.8589987629317501
SB,BB,Maniac,T6s,1.8589987629317501
SB,BB,Maniac,85s,2.0209475451336467
SB,BB,Maniac,J3o,2.0628189183097785
SB,BB,Maniac,76s,1.7205810003660258
SB,BB,Maniac,95s,1.93928106521987
SB,BB,Maniac,T7o,1.8589987629317501
SB,BB,Maniac,T2s,1.8589987629317501
SB,BB,Maniac,T5o,1.8589987629317501
SB,BB,Maniac,93s,2.2159435681481106
SB,BB,Maniac,95o,1.950700530631542
SB,BB,Maniac,75s,1.7205810003660258
